Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
abandon		X			X				X													X					
abandonment		X							X																		
abate		X									X											X					
abdicate		X							X		X											X					
abhor		X				X					X																
abide	X			X						X												X					
ability	X						X					X															
abject		X							X		X		X														
able	X		X				X					X															
abnormal		X			X								X														
abolish		X			X	X	X	X		X								X				X			X		
abominable		X					X						X	X										X			
abortive																									X		
abound	X										X											X					
about																							X				
above														X													
abrasive		X				X	X						X														
abrupt		X			X																				X		
abscond		X				X			X	X												X					
absence		X							X																		
absent		X							X		X												X	X			
absent-minded		X							X		X													X			
absentee		X				X			X				X					X									
absolute							X					X		X													
absolve	X									X								X			X	X					
absorbent	X																							X			
absorption	X			X																							
abstract																										X	X
abstraction																										X	X
absurd		X			X								X	X													
absurdity		X											X														
abundance	X		X				X							X	X												
abundant	X		X				X							X													
abuse		X			X	X	X			X			X					X				X					
abyss		X			X																						
academic																										X	X
academy																										X	X
accede	X			X						X											X	X			X		
accelerate							X			X													X				
acceleration							X			X																	
accentuate	X									X				X								X					
accept	X		X								X							X				X					
acceptable	X		X									X															
acceptance	X		X	X							X							X									
accessible	X											X															
accession	X						X																				
accident		X			X																						
acclaim	X											X									X						
acclamation	X											X									X						
accolade	X											X									X						
accommodate	X		X							X												X			X		
accommodation	X											X													X		
accompaniment	X																	X									
accompany				X						X												X	X				
accomplish	X		X				X	X		X												X					
accomplishment	X		X				X	X		X																	
accord	X		X					X										X				X			X	X	X
accordance	X		X																						X		
accost		X				X				X												X					
account										X				X	X						X	X				X	X
accountable	X																							X			
accrue	X									X					X								X				
accumulate										X													X				
accumulation										X																	
accuracy	X		X									X		X												X	X
accurate	X		X									X		X												X	X
accurateness	X											X		X													
accursed		X				X							X														
accusation		X				X												X			X						
accuse		X			X	X															X	X					
accustom											X	X										X					
ache		X									X																
achieve	X		X				X			X												X					
achievement	X		X					X		X																	
acknowledge																		X				X					
acknowledgement	X													X							X						
acquaint	X		X																			X					X
acquaintance	X		X	X													X		X								
acquire							X			X													X				
acquisition							X			X					X					X							
acquit	X																						X				
acquittal	X																										
acrimonious		X				X																					
acrimony		X				X					X		X														
across																						X				X	X
act						X	X			X								X				X	X		X		
action							X			X																	
active							X			X				X													
activity										X																	
actor										X							X		X						X		
actual	X		X									X		X													
actuality	X		X									X															
acute														X													
adamant	X						X																	X			
adapt							X			X												X					
adaptability	X						X					X															
adaptable	X						X					X												X			
adaptation	X						X					X															
adaptive	X						X					X												X			
add							X																X				
addict		X							X										X								
addiction		X							X					X													
addition							X																				
additional							X																				
address										X											X	X				X	X
adept	X		X				X					X															
adeptness	X						X					X															
adequate	X		X									X															
adhere											X											X					
adherence	X			X																							
adherent	X			X																				X			
adhesion	X																										
adhesive	X																							X			
adjournment											X														X		
adjudication								X													X				X		
adjunct	X																										
adjust	X		X				X					X										X					
adjustable	X																							X			
adjustment	X		X								X	X															
administer							X	X		X								X				X			X		
administration							X	X		X					X	X			X						X		
administrative							X	X		X					X	X									X		
administrator							X	X							X	X	X		X						X		
admirable	X											X															
admiration	X						X					X															
admire	X		X	X							X																
admirer	X						X												X								
admissible											X										X				X		
admission											X										X						
admit	X		X					X	X		X			X				X			X	X	X		X		
admittance	X									X																	
admonish		X				X	X	X		X								X				X					
admonition		X								X											X						
adopt				X						X	X							X				X			X		
adoption																									X		
adorable	X											X												X			
adore	X									X																	
adorn	X						X			X												X					
adornment	X											X															
adroit	X						X					X												X			
adroitly	X						X					X															
adulation	X						X														X						
adult	X		X				X					X					X		X								
adulterate		X																				X					
adulteration		X											X														
adultery		X											X					X									
advance	X		X				X			X	X	X										X					
advancement	X		X																								
advantage	X		X				X					X			X												
advantageous	X		X				X					X															
advent	X																										
adventure										X																	
adventuresome	X						X			X														X			
adventurous	X						X			X														X			
adversary		X				X											X	X	X						X		
adverse		X			X								X														
adversity		X											X														
advice				X																	X						
advisable	X																										
advise				X														X				X					
adviser								X									X		X								X
advisor								X									X		X								X
advisory																					X						
advocacy	X			X																	X						
advocate							X	X		X						X	X		X		X	X			X		
affability	X											X															
affable	X											X															
affair				X						X																	
affect										X												X					
affectation		X											X														
affection	X		X	X																							
affectionate	X		X	X																							
affiliate	X			X						X												X			X		
affiliation	X			X																							
affinity	X						X					X															
affirm	X		X				X	X													X	X					
affirmation	X																				X						
affirmative	X																										
affix	X			X						X													X				
afflict		X			X	X	X			X								X				X					
affliction		X			X				X		X		X														
affluence	X																										
affluent	X																							X			
afford							X	X														X					
afloat	X						X																	X			
afraid		X			X				X		X																
africa															X	X									X		
african															X	X									X		
after														X													
again														X													
against		X			X																						
age																	X		X				X				
agency								X							X	X			X						X		
agent																	X		X						X		
aggravate		X			X	X	X			X								X				X			X		
aggravation		X			X	X	X			X			X												X		
aggregate	X																										
aggregation	X																										
aggression		X			X	X	X			X			X												X		
aggressive		X			X	X	X			X															X		
aggressiveness		X			X	X	X			X			X												X		
aggressor		X				X												X	X						X		
aggrieve		X				X				X											X						
aghast		X											X	X													
agile	X						X					X												X			
agility	X						X					X															
agitate		X			X		X			X												X			X		
agitation		X			X		X			X			X												X		
agitator		X				X												X	X								
agonize		X									X																
agony		X			X																						
agree			X	X							X										X	X			X		
agreeable	X		X																		X				X		
agreement	X		X	X			X														X				X		
agricultural															X												
agriculture															X	X											
aid	X		X	X			X			X		X						X				X			X		
aide																X	X		X						X		
ail		X									X																
ailment		X																									
aim										X												X					
aimless		X									X													X			
air							X									X			X	X	X	X			X		X
aircraft																				X							
airplane																				X							
alarm		X			X					X											X	X					
alarming		X											X	X										X			
alas		X												X													
alaska															X	X											
album																				X							
alcoholic																	X		X								
alert							X			X																	
alertness	X											X															
alibi		X							X		X										X						
alien		X			X											X	X		X								
alienate		X		X		X												X				X					
alienation		X			X								X														
alight	X											X		X										X			
align																									X		
alive	X		X				X			X																	
all														X													
alledge																									X		
allegation		X			X	X															X				X		
allege		X							X												X	X					
allegiance	X			X								X															
alleviate	X			X						X												X					
alliance	X		X				X	X								X			X						X		
allied	X		X	X			X											X				X			X		
allies	X			X													X	X	X								
