entry	familiarity	concreteness	imagery	meaningfulness	age of acquisition
a	632	201	217	260	
abandon	510		395		
abandonment	359	272	348		544
abasement	226	275	262	230	
abatement	294	250	189		644
abbess	187	401	318	218	
abdication	284	275	326	277	
abdomen	426	586	548		556
abduction	413	337	463	390	
aberration	208	330	285		
abhor	360	320	335	327	
ability	563	273	327		453
able	575	302	284	355	
abode	334	498	458	419	553
abominable	358		387		
aboriginal	295	335	389	290	
about	593	227	225	300	
above	607		346		
abridgement	303	285	240		644
abrupt	486	266	362	439	
abscess	392	538	491		533
absolute	495		268		
absolution	372	241	256		608
abstraction	368				
abstruse	136		225		
abundance	448	267	386		519
abundant	524	351	443	495	
abuse	450				
abyss	293	450	453	323	597
academy	509	499	504	421	
acceleration	499	358	486		536
acceptable	521		288		
accident	564	419	518		329
accommodation	533	464	466		536
accomplice	446	395	391	345	
accord	418	299	248	307	
accordance	431	270	237		544
accordion	394	586	576	352	
account	523	365	361	392	
accumulation	451	285	354		539
accurate	566		305		
accuser	363	424	343		511
ache	523	443	443	484	
acidity	399	384	432		622
acknowledge	503	290	316	426	
acorn	397				
acre	427	462	464		411
acrobat	431	566	583	420	
act	566	379	433	431	319
active	552		436		
actual	589		259		
actuality	361	247	213		586
acumen	149	272	229	210	
adage	160	373	324		
adam	372		488		
adder	361	615	583		356
addition	535	339	347	405	314
additional	489		303		
adequate	485		268		
adherence	375	265	326		603
adjective	515	316	394	392	
adjournment	327	311	305		606
administration	502	331	413		561
admiral	436	528	543	381	
admire	531	296	390	457	
admission	482	305	389		458
admonish	341	269	302	292	
adolescence	444	267	467		597
adorn	441	339	370	355	
adult	590	492	526	543	
adultery	456	311	494		583
advanced	523		320		
advantage	562	282	292		
adventurer	402	462	497		406
adverb	473	352	315	322	
adversity	360	314	326		
advice	566	291	352		425
adze	138	283	256	164	
aerial	481	517	567		428
affable	266		315		
affair	531		361		
affection	513	280	484		467
affectionate	507		471		
affirm	444		281		
affirmation	332	242	313		583
affright	219	229	232		656
afraid	575	336	451	507	
after	575	242	217	302	
afternoon	655	406	513		281
against	600		285		
age	582	390	468	428	258
agency	420	426	366		553
aggress	351	271	270	244	
aggressive	500		417		
aggressor	359	439	383		589
agile	432	356	454	436	
agility	397	327	464		
agony	509	348	491	485	461
agreement	541	327	367		
ague	196	365	224		661
ah	519	253	330	322	
aid	536	372	413	433	
ail	370	385	391	302	
aim	549	324	383	383	344
air	608	518	450	497	
airship	332	585	545		406
airy	423	334	368	353	
aisle	503	509	528	400	
alacrity	245	269	189		678
albatross	309	621	583		528
albumin	217	415	352	205	
alchemist	262	462	394		664
alcohol	578	618	598	535	
ale	454	578	526	410	
alert	528	400	428	430	
algae	317	545	424		631
algebra	483	453	510		
alias	384	232	294		561
alien	479	399	470	422	
alimony	415	454	456		
alive	593		426		
alkali	391	437	432		633
all	582	267	332	513	
allegation	383	272	291		631
allege	279		281		
allegory	314	283	244		650
alley	526	557	572	418	
alligator	442	624	627	425	
allophone	74				
allotment	420	502	470		486
allow	504	268	373	368	
ally	410	485	453		446
alone	562	390	480	460	
alphabet	493	449	499		244
also	552	194	264	333	
alter	503	430	413	447	
alternative	518		268		
although	573	218	208	270	
altitude	420	373	472		534
aluminium	453	600	505		514
aluminum	494	523	501	381	
always	600	249	280	421	
am	603	259	247	242	
amateur	502	388	397		522
amazement	495	277	456		
ambassador	477	546	545	392	
ambition	517	281	346	417	483
ambitious	540		404		
ambulance	499	595	627		
ambush	436				
amendment	403	326	305		597
amethyst	285	573	510		567
amity	200	278	205		656
ammonia	524	563	536	343	
amount	583	335	316		392
amour	362	308	536		
ampere	272	327	304	231	
amplifier	474	564	559		
amplitude	374	315	389		650
amuse	486	321	455	416	
an	595	217	195	153	
analogy	417	247	267		617
analytic	405		303		
anchor	458	595	561	390	
ancient	429		451		
and	620	220	226	290	
anecdote	388	398	357		619
anele	103	302	204	184	
angel	470	399	554		242
anger	541	315	488	489	
angle	518	467	503	390	
angry	600		492		
animal	620	587	575		222
animosity	324	253	388		
ankle	543	608	613		264
anneal	176	267	219	193	
annex	390	464	435		536
announcement	519	368	381		464
annual	464		339		
answer	605	397	368	466	294
ant	511	604	613	415	
antagonism	417	288	378		636
anteroom	241	512	375		629
anticipation	492	288	435		572
antique	484	492	549	405	439
antitoxin	214	531	388		
anvil	302				
anxiety	548	241	422		
anxious	544		376		
any	542	222	206	272	
anybody	591	343	329		306
anyone	605		288		
apart	555	304	364	398	
apartment	491	575	556	490	522
apathy	472	364	376	377	
ape	547	654	616	538	
aperture	356	467	424		639
apex	321	408	375	270	
apology	510	311	400		406
apparent	531		266		
appeal	514	333	402		431
appear	534	271	341	336	
appearance	578	358	425		
appendix	493				
apple	598	620	637	451	211
appliance	493	558	554		
appointment	541	341	386		425
appraise	459	279	306	382	
appreciate	552		300		
approach	508	323	329		444
approval	526	267	375		469
apricot	428	638	591		386
apron	516		565		
apt	428	183	295	348	
aptitude	505	241	310		
arbiter	238	421	257		664
arbitrary	427		276		
arbor	289	430	374	260	
arc	397	471	494	363	
arch	483	512	557	371	367
archery	351	470	550		433
ardent	364		347		
are	564	195	262	277	
area	560	384	394	398	392
argue	564		412		
arid	418	399	433	385	
arise	409		354		
aristocracy	401	371	470		569
ark	417	561	517	392	
arm	608	592	593	428	192
armadillo	181	558	401		
armor	376	544	503	363	
armour	406	591	536		400
army	555	543	578	515	317
aromatic	307		443		
arrangement	525	308	316		489
array	383	371	365		
arrival	548	328	419		394
arrogant	407		402		
arrow	490	595	619		
art	529	440	493	565	
article	533	479	421		406
artifice	252	388	240		637
artificial	514	350	386	428	
artist	547	554	600	528	
artistic	468		441		
as	586	158	224	238	
asbestos	427	578	513		578
ash	494	583	553	350	343
ashamed	516	325	397	431	
ashen	274	351	395	283	
asparagus	534	608	590	442	
aspect	482	217	233		547
asphalt	488	583	569	385	
aspirin	546	574	542	445	
assault	470	410	481		
assemblage	286				
assemble	482	394	413		417
assent	325	311	345		575
assist	516	342	368	425	
assistance	534	288	348		464
assortment	492	355	367		408
assumption	521		257		
aster	205	447	224		631
astrolabe	126	391	150		697
astronomy	391	419	483		489
astute	335	241	261	281	
asymptote	281				
at	615	194	225	258	
ate	562	385	364	403	
athlete	482	545	591		428
athletics	548	437	551		
atmosphere	540	385	444		517
atom	513	481	499	426	
atrocity	371	296	404		589
attack	542	411	501	476	
attempt	558	313	302		392
attend	545	324	386	410	
attendant	494	533	499		
attentive	479		352		
attitude	553	265	321		481
attribute	421	266	295		
audience	511	515	555		425
audit	326	371	253		642
audition	479	370	395	397	
auditorium	519	552	573	380	
aunt	554	564	567	498	233
aural	192	309	253	197	
aurora	254	346	345		636
authentic	477	276	428	470	
author	554	502	460	502	414
authoritative	443		356		
